package,layer,framework,DR/NDR,Category,Subcategory,Comment
object-detection-fastai,3,pytorch,DR,CV,,
bundestag,3,pytorch,\,,,
bpdatasets,3,pytorch,DR,NLP,,Chatbot
pistarlab,3,pytorch,DR,RL,,
deepflash2,3,pytorch,DR,Biology,,
nucleaizer-backend,3,pytorch,\,,,404
ptk-patrickctrf,3,pytorch,\,,,
bert-deid,3,pytorch,DR,NLP,,
tars,3,pytorch,\,,,
labml-python-autocomplete,3,pytorch,DR,Other,,Software
akkadian,3,pytorch,DR,NLP,,
mlcomp,3,pytorch,NDR,Framework,,
ecgkit,3,pytorch,DR,Medicine,,
pyOsirix,3,pytorch,DR,Medicine,,
causalml,3,pytorch,DR,Other,,Causal
pyTextMiner,3,pytorch,DR,NLP,,
threedfit,3,pytorch,\,,,
colossalai,3,pytorch,NDR,Training,,
sabhi-utils,3,pytorch,\,,,
qary,3,pytorch,DR,NLP,,Chatbot
bio-embeddings-deepblast,3,pytorch,DR,Biology,,
mlmodels,3,pytorch,NDR,Model,,
audiozen,3,pytorch,\,,,
allenpoly,3,pytorch,DR,NLP,,
pytorch-widedeep,3,pytorch,NDR,Framework,,
diagnnose,3,pytorch,NDR,Monitoring,,Profiler
molmapnets,3,pytorch,DR,Chemistry,,
alternat,3,pytorch,DR,NLP,,
y5gg,3,pytorch,DR,CV,,
monk-pytorch-cuda92-test,3,pytorch,DR,CV,,
sc-tools,3,pytorch,DR,Biology,,
NaMAZU,3,pytorch,NDR,Model,,
density_forest,3,pytorch,NDR,Monitoring,,Profiler
variantworks,3,pytorch,DR,Biology,,
moai-mdk,3,pytorch,NDR,Framework,,
yolo7,3,pytorch,DR,CV,,
cait,3,pytorch,DR,Physics,,
performer-pytorch,3,pytorch,NDR,Model,,
pybpod-gui-plugin-alyx,3,pytorch,DR,Biology,,
lightKG,3,pytorch,DR,Other,,Graph
moleculex,3,pytorch,DR,Chemistry,,
torchaudio-augmentations,3,pytorch,DR,Audio,,
vestige-clean,3,pytorch,DR,Other,,Software
ai-python,3,pytorch,\,,,
steganogan,3,pytorch,DR,CV,,
lis,3,pytorch,NDR,Wrapper,,
medical-shape,3,pytorch,DR,Medicine,,
pytorchyolo,3,pytorch,DR,CV,,
natex,3,pytorch,DR,NLP,,
thai-personal-card-extract,3,pytorch,DR,CV,,
gym-simplifiedtetris,3,pytorch,DR,RL,,
recsys-slates-dataset,3,pytorch,DR,RecSys,,
nlp-tarte,3,pytorch,DR,NLP,,
cycIFAAP,3,pytorch,DR,Biology,,
KR-Models,3,pytorch,DR,CV,,
etna-ts,3,pytorch,DR,Time Series,,
ZZ-profiler,3,pytorch,\,,,
pytorch-ard,3,pytorch,NDR,Compression,,
geotime-classify,3,pytorch,DR,NLP,,
BoltRP,3,pytorch,\,,,
pysr,3,pytorch,NDR,AutoML,,
pepper-polish,3,pytorch,DR,Biology,,
torch-dreams,3,pytorch,DR,CV,,
torch-pitch-shift,3,pytorch,DR,Audio,,
heareval,3,pytorch,DR,Audio,,
torch-explain,3,pytorch,NDR,Explainability,,
GRR-profiler,3,pytorch,\,,,
colourize,3,pytorch,DR,CV,,
funsor,3,pytorch,NDR,Framework,,
boilr,3,pytorch,NDR,Training,,
RcTorch,3,pytorch,\,,,
fastestimator-nightly-test,3,pytorch,NDR,Framework,,
op-text,3,pytorch,DR,CV,,
fastmri,3,pytorch,DR,Medicine,,
NeodroidAgent,3,pytorch,DR,RL,,
trvaep,3,pytorch,NDR,Model,,
deepprot,3,pytorch,DR,Biology,,
fastrec,3,pytorch,DR,RecSys,,
voicefixer,3,pytorch,DR,Audio,,
mosaicml-composer,3,pytorch,NDR,Training,,
iatransfer-research,3,pytorch,NDR,Conversion,,
byol-pytorch,3,pytorch,DR,CV,,
auto-feature-extraction,3,pytorch,DR,CV,,
gracefml,3,pytorch,NDR,Framework,,
torchlit,3,pytorch,NDR,Wrapper,,
neuralqa,3,pytorch,DR,NLP,,
autograd-lib,3,pytorch,NDR,Wrapper,,
versign,3,pytorch,DR,CV,,
gpcam,3,pytorch,DR,Physics,,
plutotest,3,pytorch,\,,,
deeplense-domain-adaptation,3,pytorch,DR,Physics,,
IndexedConv,3,pytorch,NDR,Optimization,,
nextorch,3,pytorch,NDR,Optimization,,
pypifuhd,3,pytorch,DR,CV,,
zita,3,pytorch,DR,CV,,
grai-One-Vip-Profiler,3,pytorch,\,,,
people-segmentation,3,pytorch,DR,CV,,
decofre,3,pytorch,DR,Audio,,
atacworks,3,pytorch,DR,Biology,,
yucheng-ner,3,pytorch,DR,NLP,,
torchexpo,3,pytorch,NDR,Deployment,,
dalle-pytorch-dev,3,pytorch,DR,CV,,
DLtorch,3,pytorch,NDR,Framework,,
balautil,3,pytorch,NDR,Wrapper,,
hrv-lens,3,pytorch,DR,Medicine,,
faktotum,3,pytorch,DR,NLP,,
banet,3,pytorch,DR,Other,,Geography
perceptual-advex,3,pytorch,NDR,Robustness,,
Auto-Research,3,pytorch,DR,NLP,,
graph4nlp101,3,pytorch,DR,NLP,,
deepclustering,3,pytorch,DR,CV,,
zwnlp,3,pytorch,DR,NLP,,
breakhis-gradcam,3,pytorch,DR,Medicine,,
stribor,3,pytorch,NDR,Wrapper,,
t5,3,pytorch,DR,NLP,,
ml-workflow,3,pytorch,NDR,Framework,,
essmc2,3,pytorch,DR,CV,,
torch-yolo3,3,pytorch,DR,CV,,
natas,3,pytorch,DR,NLP,,
autoalbument,3,pytorch,DR,CV,,
PartNLP,3,pytorch,DR,NLP,,
LPCTorch,3,pytorch,DR,Audio,,
radtorch,3,pytorch,\,,,404
denoising-diffusion-pytorch,3,pytorch,NDR,Model,,
gerald-tools,3,pytorch,\,,,
pytorch-spear,3,pytorch,NDR,Robustness,,
transganformer,3,pytorch,NDR,Model,,
preprocess1,3,pytorch,NDR,Data,,
piq,3,pytorch,DR,CV,,
syn-nli,3,pytorch,DR,NLP,,
anime-face-detector,3,pytorch,DR,CV,,
etc-ml,3,pytorch,\,,,
sikufenci,3,pytorch,DR,NLP,,
wandb-allennlp,3,pytorch,,,,
nemo-toolkit,3,pytorch,,,,
S-profiler,3,pytorch,,,,
fastbook,3,pytorch,,,,
clip-retrieval,3,pytorch,,,,
monai,3,pytorch,,,,
mlmodels,4,pytorch,NDR,Model,,
hepynet,4,pytorch,DR,Physics,,
vardefunc,4,pytorch,DR,CV,,
dingeditranslate-custom,4,pytorch,DR,NLP,,
kpt,4,pytorch,\,,,
sabhi-utils,4,pytorch,\,,,
bdrk,4,pytorch,\,,,
pytouch,4,pytorch,DR,Other,,Robot
tmnt-cu101,4,pytorch,DR,NLP,,
tmnt,4,pytorch,DR,NLP,,
camphr-allennlp,4,pytorch,,,,
CXRsegmentation,4,pytorch,,,,
fastinference,4,pytorch,,,,
banet,4,pytorch,,,,
dl-pipeline,4,pytorch,,,,
pl-face-recognition,4,pytorch,,,,
murel.bootstrap.pytorch,4,pytorch,,,,
virtualreality,4,pytorch,,,,
maruti,4,pytorch,,,,
FireHR,4,pytorch,,,,
tkitAutoMark,4,pytorch,,,,
sjaandi,4,pytorch,,,,
rastervision,4,pytorch,,,,
unpackai,4,pytorch,,,,
alpaca-ml,4,pytorch,,,,
stVAE,4,pytorch,,,,
clh-utils,4,pytorch,,,,
translatehtml,4,pytorch,,,,
doctalk,4,pytorch,,,,
pybpod,4,pytorch,,,,
information,4,pytorch,,,,
fairensics,4,pytorch,,,,
tmnt,4,pytorch,,,,
devbio-napari,4,pytorch,,,,
sigurd,4,pytorch,,,,
bdrk,4,pytorch,,,,
plant-pathology,4,pytorch,,,,
libretranslate,4,pytorch,,,,
PyEmotion,4,pytorch,,,,
pytouch,4,pytorch,,,,
summertime,4,pytorch,,,,
lemonpie,4,pytorch,,,,
timeseries-fastai,4,pytorch,,,,
balautil,4,pytorch,,,,
nprintml,4,pytorch,,,,
alphafold2-pytorch,4,pytorch,,,,
corgie,4,pytorch,,,,
wikifaces-tford5,4,pytorch,,,,
hugdatafast,4,pytorch,,,,
navsim,4,pytorch,,,,
argos-translate-files,4,pytorch,,,,
rhelpers,4,pytorch,,,,
latechclfl2020besnier,4,pytorch,,,,
autodl-gpu,4,pytorch,,,,
wikifaces,4,pytorch,,,,
deep-piste,4,pytorch,,,,
flask-pie,4,pytorch,,,,
image-tabular,4,pytorch,,,,
Sirius-CXRsegmentation,4,pytorch,,,,
espnet,4,pytorch,,,,
zwspider,4,pytorch,,,,
pytorch-segmentation-models-trainer,4,pytorch,,,,
dl-ext,4,pytorch,,,,
jai,4,pytorch,,,,
flights-time-series-dataset,4,pytorch,,,,
fastai-xla-extensions,4,pytorch,,,,
fast-bert,4,pytorch,,,,
fast-neptune,4,pytorch,,,,
fastai-splunk,4,pytorch,,,,
Yikai-helper-funcs,4,pytorch,,,,
flowsy,4,pytorch,,,,
self-supervised,4,pytorch,,,,
pangeamt-tea,4,pytorch,,,,
deeplite-torch-zoo,4,pytorch,,,,
SuperconGAN,4,pytorch,,,,
autoalbument,4,pytorch,,,,
fastsom,4,pytorch,,,,
fastshapv1,4,pytorch,,,,
satflow,4,pytorch,,,,
netharn,4,pytorch,,,,
powerful-benchmarker,4,pytorch,,,,
preprocess1,4,pytorch,,,,
experiment-utils,4,pytorch,,,,
corpussearch,4,pytorch,,,,
borisml,4,pytorch,,,,
hepynet,4,pytorch,,,,
idsegmenter,4,pytorch,,,,
paddleocr-sabhi,4,pytorch,,,,
torchlite,4,pytorch,,,,
kwcoco,4,pytorch,,,,
pyriksprot,4,pytorch,,,,
wwf,4,pytorch,,,,
tuneup,4,pytorch,,,,
henrys-model-utils,4,pytorch,,,,
deepflash2,4,pytorch,,,,
cratergan,4,pytorch,,,,
dingedicustom-translate,4,pytorch,,,,
sdmetrics,4,pytorch,,,,
fastproaudio,4,pytorch,,,,
humpday,4,pytorch,,,,
fastsparse,4,pytorch,,,,
factsumm,4,pytorch,,,,
vardefunc,4,pytorch,,,,
table-linker,4,pytorch,,,,
zoegas,4,pytorch,,,,
libretranslate-euber,4,pytorch,,,,
SiriusN16CXRseg,4,pytorch,,,,
dingeditranslate-custom,4,pytorch,,,,
torchlife,4,pytorch,,,,
cloths-segmentation,4,pytorch,,,,
bpnlp,4,pytorch,,,,
torch-pixel-classifier,4,pytorch,,,,
kpt,4,pytorch,,,,
argostranslatefiles,4,pytorch,,,,
people-segmentation,4,pytorch,,,,
espiownage,4,pytorch,,,,
webpredict,4,pytorch,,,,
anime-face-detector,4,pytorch,,,,
nn-toolbox,4,pytorch,,,,
SiriusCXRseg,4,pytorch,,,,
nlpbook,4,pytorch,,,,
nemo-tts,4,pytorch,,,,
profetorch,4,pytorch,,,,
mask-recognition,4,pytorch,,,,
datacebo,4,pytorch,,,,
sparv-freeling,4,pytorch,,,,
deep-talk,4,pytorch,,,,
ndsampler,4,pytorch,,,,
pybpod-gui-plugin,4,pytorch,,,,
sdgym,4,pytorch,,,,
fast-rl,4,pytorch,,,,
pycarus,4,pytorch,,,,
dh-utils,4,pytorch,,,,
pd3f,4,pytorch,,,,
transfertab,4,pytorch,,,,
autoballs,4,pytorch,,,,
pixel-classifier-torch,4,pytorch,,,,
yikai-package,4,pytorch,,,,
wildbook-ia,4,pytorch,,,,
qashi,4,pytorch,,,,
psyneulink,4,pytorch,,,,
sabhi-utils,4,pytorch,,,,
mopnette,4,pytorch,,,,
timemachines,4,pytorch,,,,
keraTorch,4,pytorch,,,,
librec-auto,4,pytorch,,,,
mlmodels,4,pytorch,,,,
saai,4,pytorch,,,,
westac-parlaclarin-pipeline,4,pytorch,,,,
perutils,4,pytorch,,,,
nteu-corporate-engine,4,pytorch,,,,
cognify,4,pytorch,,,,
hydra-ax-sweeper,4,pytorch,,,,
devolearn,4,pytorch,,,,
allennlp-datalawyer,4,pytorch,,,,
SiriusCXR,4,pytorch,,,,
tkitTagger,4,pytorch,,,,
fairmlhealth,4,pytorch,,,,
kwplot,4,pytorch,,,,
deepecho-benchmark,4,pytorch,,,,
mrspuff,4,pytorch,,,,
debandshit,5,pytorch,DR,CV,,
timemachines,5,pytorch,DR,Time Series,,
odious,5,pytorch,,,,
cylleneus,5,pytorch,,,,
pangeamt-tea,5,pytorch,,,,
leidenmark,5,pytorch,,,,
vs-debandshit,5,pytorch,,,,
pybpod,5,pytorch,,,,
debandshit,5,pytorch,,,,
optimizer-ratings,5,pytorch,,,,
timemachines,5,pytorch,,,,
latechclfl2020besnier,5,pytorch,,,,
westac-parlaclarin-pipeline,5,pytorch,,,,
NREL-reVX,6,pytorch,DR,Other,,Geography
monk-cls-test1,2,mxnet,,,,
treform,2,mxnet,,,,
onnx-mxnet,2,mxnet,,,,
tmnt-WELLNER,2,mxnet,,,,
monk-obj-test1,2,mxnet,,,,
monk-cpu-test,2,mxnet,,,,
minpy,2,mxnet,,,,
monk-cpu,2,mxnet,,,,
monk-gluon-cpu-test,2,mxnet,,,,
turicreate,2,mxnet,,,,
robotathome,2,mxnet,,,,
elit,2,mxnet,,,,
monk-gluon-cpu,2,mxnet,,,,
datawig,2,mxnet,,,,
gxdltk,2,mxnet,,,,
monk-gluon-cuda102-test,2,mxnet,,,,
mxnet-to-coreml,2,mxnet,,,,
huf-aicv-detor,2,mxnet,,,,
monk-gluon-cuda102,2,mxnet,,,,
cnstd,2,mxnet,,,,
tmnt-cu101,2,mxnet,,,,
mxnet-model-server,2,mxnet,,,,
pyTextMiner,2,mxnet,,,,
monk-cuda102,2,mxnet,,,,
mxnet-coreml-converter,2,mxnet,,,,
TKT,2,mxnet,,,,
sockeye,2,mxnet,,,,
mxboard,2,mxnet,,,,
XKT,2,mxnet,,,,
openml-mxnet,2,mxnet,,,,
wikifaces,2,mxnet,,,,
gluonts,2,mxnet,,,,
monk-cuda92,2,mxnet,,,,
nprintml,2,mxnet,,,,
spaco,2,mxnet,,,,
vineyard-ml,2,mxnet,,,,
tensorly,2,mxnet,,,,
monk-cuda101-test,2,mxnet,,,,
mxnet-donkeycar,2,mxnet,,,,
monk-colab,2,mxnet,,,,
cnocr,2,mxnet,,,,
SDDect,2,mxnet,,,,
sktmls,2,mxnet,,,,
ai-graphics,2,mxnet,,,,
monk-test1,2,mxnet,,,,
wikifaces-tford5,2,mxnet,,,,
tmnt,2,mxnet,,,,
h3mlcore,2,mxnet,,,,
ai-graphics-gpu,2,mxnet,,,,
Codemao,2,mxnet,,,,
mxop,2,mxnet,,,,
monk-cuda92-test,2,mxnet,,,,
mlmodels,2,mxnet,,,,
bert-embedding,2,mxnet,,,,
monk-gluon-cuda92,2,mxnet,,,,
model-performance-investigator,2,mxnet,,,,
forecastga,2,mxnet,,,,
SDD,2,mxnet,,,,
monk-gluon-cuda92-test,2,mxnet,,,,
monk-gluon-cuda101,2,mxnet,,,,
atlinter,2,mxnet,,,,
trueface-server,2,mxnet,,,,
mxnet-model-server,3,mxnet,,,,
ndlearn,3,mxnet,,,,
corcondia,3,mxnet,,,,
cca-zoo,3,mxnet,,,,
sockeye-serving,3,mxnet,,,,
ocrpackage,3,mxnet,,,,
ocrpack,3,mxnet,,,,
mltronsAutoDataPrep,3,mxnet,,,,
cell2cell,3,mxnet,,,,
pykale,3,mxnet,,,,
board-game-recommender,3,mxnet,,,,
cpsplines,3,mxnet,,,,
iimpute,3,mxnet,,,,
mlmodels,3,mxnet,,,,
yonlu,3,mxnet,,,,
pyvidcompress,3,mxnet,,,,
spaco,3,mxnet,,,,
tensorly-quantum,3,mxnet,,,,
sockeye-serving,4,mxnet,,,,
fleet-lightning,2,paddlepaddle,NDR,Training,,
fleet-x,2,paddlepaddle,NDR,Training,,
paddle-edl,2,paddlepaddle,NDR,Deployment,,
paddle-fl,2,paddlepaddle,NDR,Privacy,,
paddle-propeller,2,paddlepaddle,NDR,Framework,,
paddle-quantum,2,paddlepaddle,DR,Other,,Quantum
paddle-rec,2,paddlepaddle,DR,RecSys,,
paddle-serving-client,2,paddlepaddle,NDR,Deployment,,
paddle-serving-server,2,paddlepaddle,NDR,Deployment,,
paddle-serving-server-gpu,2,paddlepaddle,NDR,Deployment,,
paddleocr-sabhi,2,paddlepaddle,\,,,
paddlepalm,2,paddlepaddle,DR,NLP,,
paddlevideo,2,paddlepaddle,DR,CV,,
ppvideo,2,paddlepaddle,\,,,
sabhiocr-server,2,paddlepaddle,\,,,
ddparser,2,paddlepaddle,DR,NLP,,
fleet-rec,2,paddlepaddle,NDR,Training,,
idsegmenter,2,paddlepaddle,\,,,
matatron,2,paddlepaddle,\,,,
paddle-aistudio,2,paddlepaddle,NDR,Framework,,
paddle-tokenizer,2,paddlepaddle,DR,NLP,,
ppcd,2,paddlepaddle,DR,Other,,Geography
pydp,2,paddlepaddle,NDR,Data,,
pyunit-ner,2,paddlepaddle,DR,NLP,,
qashi,2,paddlepaddle,\,,,
rasa-contrib,2,paddlepaddle,DR,NLP,,
sabhi-utils,2,paddlepaddle,\,,,
sabhidoctools,2,paddlepaddle,\,,,
sabhiocr-module,2,paddlepaddle,\,,,
textanalyzer,2,paddlepaddle,DR,NLP,,
vision-ui,2,paddlepaddle,DR,CV,,
paddle-aistudio-gpu,2,paddlepaddle,NDR,Framework,,
paddletools,2,paddlepaddle,NDR,Wrapper,,
sabhiocr-server,2,paddlepaddle,,,,
paddle-serving-server,3,paddlepaddle,NDR,Deployment,,
paddle-serving-server-gpu,3,paddlepaddle,NDR,Deployment,,
id-segmenter,3,paddlepaddle,\,,,
idsegmenter,3,paddlepaddle,\,,,
matatron,3,paddlepaddle,\,,,
qashi,3,paddlepaddle,\,,,
HEBO-mindspore,2,mindspore,NDR,Optimization,,
READ-mindspore,2,mindspore,DR,Other,,AD
tinyms,2,mindspore,NDR,Framework,,
